+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+-----+-----+
| COUNT | METHOD |             URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P99  | 1XX |  2XX  | 3XX | 4XX | 5XX |
+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+-----+-----+
| 54817 | POST   | /api/condition/[0-9a-z-]+    | 0.004 | 0.120 | 2712.144 | 0.049 | 0.100 |   0 | 54155 |   0 | 662 |   0 |
|  2035 | GET    | /api/condition/[0-9a-z-]+    | 0.004 | 0.312 |  183.496 | 0.090 | 0.176 |   0 |  1859 |   0 | 176 |   0 |
|  1174 | GET    | /api/isu/[0-9a-z-]           | 0.012 | 0.308 |  119.188 | 0.102 | 0.220 |   0 |   967 |   0 | 207 |   0 |
|    86 | GET    | /api/trend                   | 0.024 | 1.016 |   78.752 | 0.916 | 1.016 |   0 |     9 |   0 |  77 |   0 |
|   352 | GET    | /api/isu                     | 0.024 | 0.460 |   69.480 | 0.197 | 0.416 |   0 |   326 |   0 |  26 |   0 |
|   508 | GET    | /api/isu/[0-9a-z-]+/icon     | 0.004 | 0.148 |   36.016 | 0.071 | 0.132 |   0 |   433 |   0 |  75 |   0 |
|   150 | GET    | /assets/vendor.ee7444dd.js   | 0.032 | 0.376 |   24.636 | 0.164 | 0.372 |   0 |    90 |  60 |   0 |   0 |
|   352 | POST   | /api/auth                    | 0.004 | 0.244 |   20.968 | 0.060 | 0.152 |   0 |   144 |   0 | 208 |   0 |
|   184 | GET    | /                            | 0.004 | 0.160 |   12.540 | 0.068 | 0.144 |   0 |   156 |  28 |   0 |   0 |
|    55 | POST   | /api/isu                     | 0.005 | 0.324 |    9.465 | 0.172 | 0.324 |   0 |    51 |   0 |   4 |   0 |
|   150 | GET    | /assets/index.23dac98b.js    | 0.028 | 0.128 |    8.720 | 0.058 | 0.128 |   0 |    90 |  60 |   0 |   0 |
|   150 | GET    | /assets/favicon.d0f5f504.svg | 0.028 | 0.128 |    8.716 | 0.058 | 0.124 |   0 |    90 |  60 |   0 |   0 |
|   150 | GET    | /assets/index.144d8ca8.css   | 0.028 | 0.128 |    8.564 | 0.057 | 0.124 |   0 |    90 |  60 |   0 |   0 |
|   150 | GET    | /assets/logo_white.svg       | 0.020 | 0.136 |    7.788 | 0.052 | 0.128 |   0 |    89 |  60 |   1 |   0 |
|   149 | GET    | /api/user/me                 | 0.004 | 0.196 |    7.312 | 0.049 | 0.188 |   0 |    66 |   0 |  83 |   0 |
|    89 | GET    | /assets/logo_orange.svg      | 0.020 | 0.136 |    6.512 | 0.073 | 0.136 |   0 |    88 |   0 |   1 |   0 |
|    87 | POST   | /api/signout                 | 0.012 | 0.268 |    5.236 | 0.060 | 0.268 |   0 |    59 |   0 |  28 |   0 |
|     1 | POST   | /initialize                  | 0.276 | 0.276 |    0.276 | 0.276 | 0.276 |   0 |     1 |   0 |   0 |   0 |
|     9 | GET    | /stream                      | 0.000 | 0.012 |    0.036 | 0.004 | 0.012 |   0 |     0 |   0 |   9 |   0 |
|    18 | GET    | /isu/[0-9a-z-]+/condition    | 0.000 | 0.004 |    0.012 | 0.001 | 0.004 |   0 |     6 |  12 |   0 |   0 |
|     6 | GET    | /isu/[0-9a-z-]+/graph        | 0.004 | 0.004 |    0.008 | 0.001 | 0.004 |   0 |     6 |   0 |   0 |   0 |
|     1 | GET    | /fapi/v1/fundingRate         | 0.004 | 0.004 |    0.004 | 0.004 | 0.004 |   0 |     0 |   0 |   1 |   0 |
|     3 | GET    | /register                    | 0.004 | 0.004 |    0.004 | 0.001 | 0.004 |   0 |     1 |   2 |   0 |   0 |
|     6 | GET    | /isu/[0-9a-z-]+              | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 |   0 |     6 |   0 |   0 |   0 |
+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+-----+-----+
