+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+-----+-----+
| COUNT | METHOD |             URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P99  | 1XX |  2XX  | 3XX | 4XX | 5XX |
+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+-----+-----+
| 59326 | POST   | /api/condition/[0-9a-z-]+    | 0.004 | 0.112 | 2740.524 | 0.046 | 0.100 |   0 | 58856 |   0 | 470 |   0 |
|  2357 | GET    | /api/condition/[0-9a-z-]+    | 0.004 | 0.404 |  190.628 | 0.081 | 0.168 |   0 |  2165 |   0 | 192 |   0 |
|  1277 | GET    | /api/isu/[0-9a-z-]           | 0.008 | 0.368 |  115.516 | 0.090 | 0.184 |   0 |  1061 |   0 | 216 |   0 |
|    90 | GET    | /api/trend                   | 0.024 | 1.008 |   80.472 | 0.894 | 1.008 |   0 |     9 |   0 |  81 |   0 |
|   378 | GET    | /api/isu                     | 0.004 | 0.540 |   68.836 | 0.182 | 0.380 |   0 |   350 |   0 |  28 |   0 |
|   518 | GET    | /api/isu/[0-9a-z-]+/icon     | 0.008 | 0.172 |   33.516 | 0.065 | 0.120 |   0 |   437 |   0 |  81 |   0 |
|   174 | GET    | /assets/vendor.ee7444dd.js   | 0.004 | 0.396 |   24.336 | 0.140 | 0.380 |   0 |    93 |  81 |   0 |   0 |
|   376 | POST   | /api/auth                    | 0.000 | 0.216 |   18.584 | 0.049 | 0.164 |   0 |   150 |   0 | 226 |   0 |
|   192 | GET    | /                            | 0.004 | 0.144 |   12.468 | 0.065 | 0.144 |   0 |   161 |  29 |   2 |   0 |
|    55 | POST   | /api/isu                     | 0.008 | 0.344 |    8.864 | 0.161 | 0.344 |   0 |    51 |   0 |   4 |   0 |
|   174 | GET    | /assets/index.23dac98b.js    | 0.004 | 0.128 |    8.576 | 0.049 | 0.120 |   0 |    93 |  81 |   0 |   0 |
|   174 | GET    | /assets/favicon.d0f5f504.svg | 0.004 | 0.124 |    8.520 | 0.049 | 0.116 |   0 |    93 |  81 |   0 |   0 |
|   174 | GET    | /assets/index.144d8ca8.css   | 0.004 | 0.128 |    8.456 | 0.049 | 0.116 |   0 |    93 |  81 |   0 |   0 |
|   174 | GET    | /assets/logo_white.svg       | 0.004 | 0.128 |    8.060 | 0.046 | 0.116 |   0 |    93 |  81 |   0 |   0 |
|   155 | GET    | /api/user/me                 | 0.008 | 0.304 |    7.588 | 0.049 | 0.216 |   0 |    68 |   0 |  87 |   0 |
|    92 | GET    | /assets/logo_orange.svg      | 0.016 | 0.132 |    6.972 | 0.076 | 0.132 |   0 |    92 |   0 |   0 |   0 |
|    92 | POST   | /api/signout                 | 0.000 | 0.396 |    5.444 | 0.059 | 0.396 |   0 |    62 |   0 |  30 |   0 |
|     1 | POST   | /initialize                  | 0.328 | 0.328 |    0.328 | 0.328 | 0.328 |   0 |     1 |   0 |   0 |   0 |
|    10 | GET    | /isu/[0-9a-z-]+/graph        | 0.000 | 0.004 |    0.024 | 0.002 | 0.004 |   0 |    10 |   0 |   0 |   0 |
|    30 | GET    | /isu/[0-9a-z-]+/condition    | 0.000 | 0.004 |    0.020 | 0.001 | 0.004 |   0 |    10 |  20 |   0 |   0 |
|    10 | GET    | /isu/[0-9a-z-]+              | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 |   0 |    10 |   0 |   0 |   0 |
|     3 | GET    | /register                    | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 |   0 |     1 |   2 |   0 |   0 |
+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+-----+-----+
