+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+-----+-----+
| COUNT | METHOD |             URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P99  | 1XX |  2XX  | 3XX | 4XX | 5XX |
+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+-----+-----+
| 59857 | POST   | /api/condition/[0-9a-z-]+    | 0.004 | 0.120 | 2741.672 | 0.046 | 0.100 |   0 | 59460 |   0 | 397 |   0 |
|  2367 | GET    | /api/condition/[0-9a-z-]+    | 0.004 | 0.540 |  190.480 | 0.080 | 0.184 |   0 |  2173 |   0 | 194 |   0 |
|  1263 | GET    | /api/isu/[0-9a-z-]           | 0.004 | 0.524 |  113.796 | 0.090 | 0.196 |   0 |  1040 |   0 | 223 |   0 |
|    92 | GET    | /api/trend                   | 0.020 | 1.008 |   84.452 | 0.918 | 1.008 |   0 |     9 |   0 |  83 |   0 |
|   383 | GET    | /api/isu                     | 0.004 | 0.668 |   68.124 | 0.178 | 0.476 |   0 |   355 |   0 |  28 |   0 |
|   559 | GET    | /api/isu/[0-9a-z-]+/icon     | 0.004 | 0.140 |   36.420 | 0.065 | 0.124 |   0 |   475 |   0 |  84 |   0 |
|   157 | GET    | /assets/vendor.ee7444dd.js   | 0.004 | 0.340 |   24.272 | 0.155 | 0.328 |   0 |    95 |  62 |   0 |   0 |
|   380 | POST   | /api/auth                    | 0.004 | 0.608 |   21.632 | 0.057 | 0.184 |   0 |   156 |   0 | 224 |   0 |
|   197 | GET    | /                            | 0.008 | 0.128 |   12.344 | 0.063 | 0.124 |   0 |   167 |  30 |   0 |   0 |
|    55 | POST   | /api/isu                     | 0.004 | 0.316 |    8.516 | 0.155 | 0.316 |   0 |    51 |   0 |   4 |   0 |
|   157 | GET    | /assets/index.23dac98b.js    | 0.004 | 0.132 |    8.408 | 0.054 | 0.120 |   0 |    95 |  62 |   0 |   0 |
|   157 | GET    | /assets/favicon.d0f5f504.svg | 0.004 | 0.128 |    8.316 | 0.053 | 0.116 |   0 |    95 |  62 |   0 |   0 |
|   157 | GET    | /assets/index.144d8ca8.css   | 0.004 | 0.132 |    8.228 | 0.052 | 0.116 |   0 |    95 |  62 |   0 |   0 |
|   162 | GET    | /api/user/me                 | 0.004 | 0.340 |    7.740 | 0.048 | 0.292 |   0 |    72 |   0 |  90 |   0 |
|   157 | GET    | /assets/logo_white.svg       | 0.012 | 0.136 |    7.624 | 0.049 | 0.116 |   0 |    95 |  62 |   0 |   0 |
|    94 | GET    | /assets/logo_orange.svg      | 0.004 | 0.132 |    6.440 | 0.069 | 0.132 |   0 |    94 |   0 |   0 |   0 |
|    94 | POST   | /api/signout                 | 0.020 | 0.264 |    5.308 | 0.056 | 0.264 |   0 |    64 |   0 |  30 |   0 |
|     1 | POST   | /initialize                  | 0.256 | 0.256 |    0.256 | 0.256 | 0.256 |   0 |     1 |   0 |   0 |   0 |
|    18 | GET    | /isu/[0-9a-z-]+/condition    | 0.000 | 0.004 |    0.016 | 0.001 | 0.004 |   0 |     6 |  12 |   0 |   0 |
|     6 | GET    | /isu/[0-9a-z-]+/graph        | 0.004 | 0.004 |    0.008 | 0.001 | 0.004 |   0 |     6 |   0 |   0 |   0 |
|     6 | GET    | /isu/[0-9a-z-]+              | 0.000 | 0.004 |    0.004 | 0.001 | 0.004 |   0 |     6 |   0 |   0 |   0 |
|     3 | GET    | /register                    | 0.004 | 0.004 |    0.004 | 0.001 | 0.004 |   0 |     1 |   2 |   0 |   0 |
+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+-----+-----+
